"geo_value","time_value","cli","inperson_school_fulltime","inperson_school_parttime","tested_14d","tested_positive_14d","covid_vaccinated_or_accept","covid_vaccinated","others_masked","public_transit_1d","work_outside_home_1d","shop_1d","restaurant_1d","spent_time_1d","large_event_1d","worried_become_ill","vaccine_likely_friends","vaccine_likely_who","vaccine_likely_govt_health","vaccine_likely_politicians","confirmed_7dav_incidence_prop","wearing_mask"
"09007",2021-01-30,0.3382911,NA,NA,18.269887,NA,88.4494242,18.7835684,96.7671336,1.0537878,29.2780863,47.4584238,12.5985394,31.8465516,3.9281815,75.4780935,42.4064587,46.1182171,40.0365999,17.4207014,43.3015582,96.7579691
"09009",2021-01-30,0.5879511,35.3304828,41.8137879,21.1093889,6.3136472,81.7942939,17.9823806,91.6470626,2.9732703,30.9951034,48.496916,10.4487904,24.3529282,4.2778879,72.260487,37.8821725,40.3953828,37.5358798,13.0768879,50.3048811,97.5254895
"09011",2021-01-30,0.5263526,NA,NA,24.3916257,NA,80.4245594,19.1906858,96.7548359,1.8573203,29.2996858,49.3702186,10.8176803,28.1918274,4.6194022,69.4631761,38.5010129,41.7604346,36.3010284,10.7335817,57.6282498,97.7330383
"09013",2021-01-30,0.1901826,NA,NA,18.2032974,NA,92.4748044,20.8373649,97.9909061,0.7318616,25.9042867,42.7615541,11.0763989,25.2076748,5.058674,74.1048808,32.1402712,41.1625653,39.7458734,10.3249786,39.7457788,95.9115105
"09015",2021-01-30,1.3916633,NA,NA,20.9146288,NA,70.6332126,13.3488268,91.8932525,1.6330749,32.1214772,58.0604691,10.4796154,32.3709,4.6813411,71.5078766,22.6457888,33.1012944,21.3901143,6.1631974,68.4007943,94.9645764
"10001",2021-01-30,0.2499684,NA,NA,16.3885718,NA,71.190606,22.3236802,90.530119,2.7602876,39.8655256,61.1008306,11.8414846,32.058222,10.431381,67.951268,29.2476502,30.0971229,27.6286054,8.8604219,56.7094075,96.3308665
"10003",2021-01-30,0.5450745,19.7252933,34.7918111,23.3344974,8.9453868,82.4782117,17.1008052,92.575809,3.0485637,25.3274642,46.5799302,13.2466705,25.4798994,6.5847102,71.2019277,37.8042245,37.6999406,33.301738,11.8176101,48.1591526,95.4500246
"10005",2021-01-30,0,NA,NA,15.9327836,NA,78.8213491,18.6837281,93.7053135,0.3381004,31.0347146,59.9385831,17.217523,29.8010311,4.0335292,71.5772887,33.2500535,31.7472474,33.363128,9.6975365,59.4166526,95.524225
"11001",2021-01-30,0.4175616,NA,NA,13.9326026,NA,86.330856,15.5131959,94.9827303,9.4578494,15.2638718,40.2458578,7.9191561,23.0404969,2.933867,76.8592027,38.0448778,47.6867922,47.2346639,14.5032773,31.7653604,97.2015989
"12001",2021-01-30,0.6720815,NA,NA,13.130872,NA,79.6218899,24.1709516,76.0272544,3.2781879,39.2706371,56.1959529,15.6728799,29.5181989,5.9719421,69.5276479,27.7943564,37.3231187,31.1590316,7.6430277,51.882355,95.5140819
"12005",2021-01-30,1.456762,NA,NA,18.4501004,NA,58.6392024,11.9421787,46.2894074,1.318178,44.7564696,53.1258802,22.9199951,36.5090393,15.7068933,63.8631298,38.7915071,27.4884168,24.6843333,7.8848147,112.1530551,81.1290929
"12009",2021-01-30,0.1818319,NA,NA,8.5771506,NA,75.0138128,13.9193118,70.2860019,4.5302666,32.5023758,61.2256313,23.6469047,40.0048017,10.348783,66.8042309,28.7234882,34.8471628,29.1463232,7.1869013,38.3873734,89.2718232
"12011",2021-01-30,0.9526889,41.5463342,10.5586933,15.6058219,13.1977013,78.6305379,16.6779024,85.9380678,2.5132186,31.9159318,50.8265581,15.6973077,28.6903222,7.0664286,72.1281702,33.2513398,43.2628466,38.4548534,11.1128809,51.3397246,94.2870395
"12015",2021-01-30,1.2032745,NA,NA,7.5413271,NA,74.8009582,10.5262439,61.7723161,1.8012525,21.2280218,52.6368272,22.4013708,31.6176724,10.9901021,68.564479,37.097754,35.3586321,30.5427654,6.2706605,27.2931972,85.8815243
"12017",2021-01-30,0.3830585,NA,NA,5.4312629,NA,71.7985108,20.5484589,49.7306748,1.0538038,22.374825,56.2044995,19.5769437,30.5366506,12.314053,62.6315525,28.9715018,30.8585954,28.1821823,11.1377923,37.9060192,83.3806574
"12019",2021-01-30,0.8316186,NA,NA,10.605628,NA,70.3428226,15.384343,52.0145812,1.181464,32.033145,60.5254578,20.4646644,36.2505769,8.8069687,76.1226477,26.0742552,30.5882638,28.5265784,7.7443863,42.5150896,84.6827092
"12021",2021-01-30,0.5410475,NA,NA,9.1696164,NA,78.1168837,17.4082293,74.3143043,2.0647953,23.4261012,56.5216043,27.8302689,34.2341304,10.7196704,70.8616113,40.6599702,35.2939356,33.1637731,10.7862439,36.8618564,89.9434037
"12023",2021-01-30,0.8110751,NA,NA,NA,NA,NA,NA,NA,3.7404134,40.0958145,52.8923149,19.2672926,23.3902536,12.0208152,NA,NA,NA,NA,NA,39.1287079,NA
"12031",2021-01-30,2.0054546,62.5200197,14.1044374,12.3565213,NA,69.2377392,18.6928145,70.7297155,3.580141,34.6461973,50.3077501,21.602036,32.9016175,10.9386573,65.9214684,30.6007259,33.6898832,28.8781507,11.2160957,49.7850186,89.9041541
